YYYY/MM,USDJPY,Nikkei225
2011/01,82.08,10237.92
2011/02,81.78,10624.09
2011/03,83.15,9755.10
2011/04,81.21,9849.74
2011/05,81.52,9693.73
2011/06,80.52,9816.09
2011/07,76.73,9833.03
2011/08,76.59,8955.20
2011/09,77.04,8700.29
2011/10,78.20,8988.39
2011/11,77.50,8434.61
2011/12,76.94,8455.35
2012/01,76.19,8802.51
2012/02,81.22,9723.24
2012/03,82.79,10083.56
2012/04,79.78,9520.89
2012/05,78.35,8542.73
2012/06,79.77,9006.78
2012/07,78.11,8695.06
2012/08,78.37,8839.91
2012/09,77.90,8870.16
2012/10,79.76,8928.29
2012/11,82.45,9446.01
2012/12,86.74,10395.18
2013/01,91.72,11138.66
2013/02,92.53,11559.36
2013/03,94.19,12397.91
2013/04,97.41,13860.86
2013/05,100.46,13774.54
2013/06,99.12,13677.32
2013/07,97.86,13668.32
2013/08,98.15,13388.86
2013/09,98.21,14455.80
2013/10,98.35,14327.94
2013/11,102.41,15661.87
2013/12,105.30,16291.31
2014/01,102.03,14914.53
2014/02,101.80,14841.07
2014/03,103.19,14827.83
2014/04,102.24,14304.11
2014/05,101.78,14632.38
2014/06,101.30,15162.10
2014/07,102.79,15620.77
2014/08,104.05,15424.59
2014/09,109.64,16173.52
2014/10,112.30,16413.76
2014/11,118.61,17459.85
2014/12,119.68,17450.77
2015/01,117.44,17674.39
2015/02,119.51,18797.94
2015/03,120.12,19206.99
2015/04,119.34,19520.01
2015/05,124.11,20563.15
2015/06,122.49,20235.73
2015/07,123.92,20585.24
2015/08,121.22,18890.48
2015/09,119.84,17388.15
2015/10,120.61,19083.10
2015/11,123.08,19747.47
2015/12,120.30,19033.71
2016/01,121.03,17518.30
2016/02,112.66,16026.76
2016/03,112.56,16758.67
2016/04,106.35,16666.05
2016/05,110.68,17234.98
2016/06,103.25,15575.92
2016/07,102.05,16569.27
2016/08,103.42,16887.40
2016/09,101.33,16449.84
2016/10,104.81,17425.02
2016/11,114.44,18308.48
2016/12,116.87,19114.37
2017/01,112.78,19041.34
2017/02,112.75,19118.99
2017/03,111.38,18909.26
2017/04,111.53,19196.74
2017/05,110.75,19650.57
2017/06,112.35,20033.43
2017/07,110.25,19925.18
2017/08,109.96,19646.24
2017/09,112.47,20356.28
2017/10,113.62,22011.61
2017/11,112.52,22724.96
2017/12,112.67,22764.94
2018/01,109.17,23098.29
2018/02,106.67,22068.24
2018/03,106.26,21454.30
2018/04,109.33,22467.87
2018/05,108.81,22201.82
2018/06,110.66,22304.51
2018/07,111.86,22553.72
2018/08,111.02,22865.15
2018/09,113.68,24120.04
2018/10,112.93,21920.46
2018/11,113.46,22351.06
2018/12,109.56,20014.77
2019/01,108.87,20773.49
2019/02,111.37,21385.16
2019/03,110.84,21205.81
2019/04,111.41,22258.73
2019/05,108.26,20601.19
2019/06,107.88,21275.92
2019/07,108.74,21521.53
2019/08,106.29,20704.37
2019/09,108.06,21755.84
2019/10,108.02,22927.04
2019/11,109.51,23293.91
2019/12,108.61,23656.62
2020/01,108.38,23205.18
2020/02,108.07,21142.96
2020/03,107.53,18917.01
2020/04,107.17,20193.69
2020/05,107.77,21877.89
2020/06,107.92,22288.14
2020/07,105.88,21710.00
2020/08,105.89,23139.76
2020/09,105.45,23185.12
2020/10,104.64,22977.13
2020/11,104.27,26433.62
2020/12,103.24,27444.17
2021/01,104.68,27663.39
2021/02,106.58,28966.01
2021/03,110.70,29178.80
2021/04,109.27,28812.63
2021/05,109.54,28860.08
2021/06,111.10,28791.53
2021/07,109.70,27283.59
2021/08,110.02,28089.54
2021/09,111.27,29452.66
2021/10,114.00,28892.69
2021/11,113.13,27821.76
2021/12,115.08,28791.71
2022/01,115.10,27001.98
2022/02,114.99,26526.82
2022/03,121.66,27821.43
2022/04,129.83,26847.90
2022/05,128.68,27279.80
2022/06,135.73,26393.04
2022/07,133.19,27801.64
2022/08,138.96,28091.53
2022/09,144.75,25937.21
2022/10,148.71,27587.46
2022/11,138.03,27968.99
2022/12,131.11,26094.50
